% sa_1 sa_2 sa_3 sa_4 sa_5 sa_6 sa_7 sa_8 sa_9 sa_10 sa_11 sa_12 sa_13
8.8824e-02 9.0406e-02 1.0848e-01 1.6328e-01 2.3119e-01 1.5151e-01 7.6225e-02 3.4493e-02 2.0339e-02 1.4188e-02 1.0651e-02 6.7572e-03 4.5753e-03
1.5698e-01 1.5748e-01 1.6447e-01 2.2896e-01 4.0907e-01 4.2863e-01 2.3667e-01 1.1197e-01 6.5042e-02 4.3705e-02 3.0479e-02 1.7505e-02 1.1062e-02
2.8410e-01 2.8413e-01 2.8910e-01 4.0169e-01 6.8155e-01 6.8158e-01 3.5312e-01 1.5896e-01 9.3253e-02 6.4342e-02 4.7556e-02 2.6138e-02 1.5795e-02
3.4326e-01 3.4730e-01 3.8589e-01 5.7526e-01 9.1417e-01 6.2492e-01 3.2645e-01 1.5163e-01 9.1205e-02 6.4594e-02 4.7794e-02 2.4936e-02 1.4542e-02
4.3814e-02 4.4519e-02 5.2988e-02 7.6836e-02 1.1511e-01 6.8914e-02 2.8364e-02 1.0781e-02 6.0795e-03 4.1976e-03 3.2379e-03 2.5688e-03 2.0244e-03
5.9001e-02 6.0054e-02 7.2073e-02 1.0649e-01 1.4959e-01 1.0056e-01 4.8863e-02 2.1672e-02 1.2781e-02 8.9595e-03 6.7620e-03 4.6017e-03 3.2700e-03
7.3101e-02 7.4637e-02 9.1714e-02 1.3764e-01 1.6362e-01 9.0179e-02 4.4002e-02 1.9802e-02 1.1663e-02 8.2912e-03 6.2731e-03 4.2038e-03 2.9574e-03
1.4894e-01 1.4943e-01 1.5586e-01 2.1947e-01 3.9226e-01 4.1026e-01 2.2093e-01 1.0221e-01 5.8500e-02 3.9620e-02 2.7355e-02 1.5871e-02 1.0190e-02
2.6005e-01 2.5964e-01 2.6085e-01 3.5910e-01 6.1642e-01 6.6101e-01 3.6560e-01 1.7258e-01 1.0220e-01 7.1185e-02 5.1485e-02 2.7816e-02 1.6543e-02
3.3679e-01 3.4143e-01 3.8373e-01 5.7839e-01 9.0763e-01 5.7802e-01 3.0313e-01 1.4079e-01 8.4709e-02 6.0400e-02 4.4312e-02 2.3041e-02 1.3493e-02
4.1660e-02 4.2290e-02 4.9925e-02 7.2846e-02 1.1157e-01 7.2634e-02 2.8945e-02 1.0876e-02 5.8790e-03 4.0121e-03 3.0780e-03 2.4391e-03 1.9622e-03
5.9647e-02 6.0666e-02 7.2088e-02 1.0663e-01 1.5907e-01 1.1211e-01 5.3518e-02 2.3235e-02 1.3612e-02 9.4075e-03 7.1447e-03 4.9110e-03 3.5111e-03
7.3555e-02 7.5074e-02 9.1695e-02 1.3817e-01 1.6031e-01 7.8243e-02 3.6249e-02 1.5896e-02 9.4690e-03 6.8597e-03 5.2705e-03 3.7053e-03 2.6457e-03
1.4126e-01 1.4244e-01 1.5581e-01 2.2576e-01 3.8900e-01 3.4475e-01 1.7527e-01 7.8480e-02 4.5233e-02 3.0873e-02 2.2226e-02 1.3281e-02 8.6485e-03
2.5745e-01 2.5757e-01 2.6326e-01 3.6511e-01 6.2757e-01 6.4891e-01 3.6572e-01 1.7862e-01 1.0923e-01 7.7626e-02 5.7292e-02 3.0525e-02 1.7684e-02
3.5274e-01 3.5562e-01 3.8324e-01 5.5197e-01 9.1266e-01 7.2931e-01 3.7292e-01 1.7200e-01 1.0426e-01 7.4477e-02 5.5352e-02 2.8802e-02 1.6599e-02
3.8656e-02 3.9158e-02 4.5115e-02 6.6050e-02 1.1555e-01 9.8921e-02 4.0705e-02 1.4193e-02 6.8103e-03 4.1825e-03 2.7974e-03 2.1010e-03 1.7938e-03
5.2398e-02 5.3318e-02 6.3917e-02 9.4853e-02 1.3387e-01 9.1068e-02 4.4901e-02 1.9981e-02 1.1769e-02 8.2170e-03 6.2114e-03 4.2686e-03 3.0561e-03
6.4532e-02 6.5914e-02 8.0908e-02 1.2008e-01 1.4228e-01 8.0818e-02 4.0566e-02 1.8247e-02 1.0753e-02 7.6310e-03 5.8608e-03 3.9720e-03 2.8196e-03
1.3019e-01 1.3087e-01 1.3871e-01 1.9792e-01 3.5435e-01 3.5725e-01 1.8723e-01 8.6233e-02 4.8493e-02 3.1906e-02 2.1798e-02 1.2885e-02 8.4702e-03
2.2980e-01 2.2860e-01 2.2700e-01 3.1029e-01 5.3291e-01 6.4012e-01 3.9105e-01 2.1076e-01 1.3317e-01 9.5591e-02 7.0479e-02 3.7208e-02 2.1201e-02
3.4277e-01 3.4679e-01 3.8696e-01 5.8329e-01 9.1649e-01 5.8485e-01 3.0785e-01 1.4417e-01 8.6558e-02 6.1210e-02 4.5254e-02 2.3441e-02 1.3697e-02
3.6416e-02 3.6838e-02 4.1805e-02 6.0902e-02 1.1252e-01 1.1370e-01 4.7421e-02 1.6708e-02 7.5622e-03 4.2694e-03 2.3852e-03 1.7013e-03 1.4750e-03
3.8374e-02 3.9103e-02 4.7521e-02 6.8615e-02 8.6920e-02 6.9262e-02 3.8297e-02 1.8228e-02 1.0829e-02 7.3490e-03 5.4888e-03 3.5739e-03 2.5584e-03
7.6397e-02 7.7700e-02 9.2017e-02 1.3871e-01 2.0443e-01 1.5849e-01 8.2561e-02 3.8557e-02 2.2828e-02 1.6016e-02 1.1931e-02 7.4649e-03 5.0039e-03
1.2465e-01 1.2638e-01 1.4468e-01 2.1345e-01 3.4046e-01 2.7099e-01 1.3902e-01 6.2861e-02 3.7242e-02 2.5910e-02 1.9318e-02 1.1657e-02 7.5483e-03
2.2517e-01 2.2539e-01 2.3090e-01 3.2184e-01 5.5123e-01 5.8641e-01 3.3604e-01 1.6737e-01 1.0466e-01 7.5105e-02 5.5973e-02 3.0018e-02 1.7442e-02
3.3827e-01 3.4258e-01 3.8186e-01 5.7346e-01 8.9537e-01 5.4870e-01 2.7798e-01 1.2513e-01 7.5633e-02 5.4071e-02 3.9883e-02 2.1218e-02 1.2551e-02
1.8514e-01 1.8843e-01 2.2258e-01 3.3952e-01 4.9157e-01 3.2144e-01 1.7069e-01 8.0070e-02 4.7757e-02 3.3260e-02 2.4725e-02 1.3899e-02 8.6437e-03
4.2831e-02 4.3626e-02 5.2847e-02 7.5937e-02 9.0939e-02 5.1148e-02 2.4091e-02 1.0635e-02 6.3211e-03 4.5857e-03 3.5580e-03 2.6348e-03 1.9531e-03
6.3475e-02 6.4641e-02 7.7439e-02 1.1586e-01 1.5974e-01 1.1896e-01 6.4905e-02 3.1000e-02 1.8215e-02 1.2555e-02 9.2976e-03 5.8293e-03 3.9732e-03
1.2114e-01 1.2235e-01 1.3626e-01 1.9923e-01 3.3865e-01 3.0416e-01 1.6084e-01 7.4519e-02 4.3822e-02 3.0134e-02 2.2147e-02 1.3248e-02 8.5284e-03
1.8875e-01 1.8805e-01 1.8782e-01 2.5807e-01 4.4985e-01 5.2898e-01 3.1546e-01 1.6118e-01 9.6616e-02 6.6950e-02 4.7815e-02 2.6047e-02 1.5615e-02
3.1263e-01 3.1648e-01 3.5413e-01 5.3223e-01 8.2728e-01 5.0846e-01 2.5534e-01 1.1652e-01 7.0881e-02 5.0410e-02 3.7518e-02 2.0035e-02 1.1903e-02
1.9134e-01 1.9448e-01 2.2798e-01 3.4473e-01 5.0456e-01 3.4114e-01 1.7862e-01 8.2867e-02 4.9028e-02 3.4278e-02 2.5304e-02 1.4206e-02 8.7926e-03
4.0061e-02 4.0754e-02 4.8945e-02 7.0986e-02 8.4544e-02 4.8339e-02 2.2913e-02 1.0274e-02 6.0637e-03 4.3807e-03 3.3831e-03 2.5135e-03 1.8689e-03
